2024-06-09 14:35:11,104.hm_producer.INFO ==================================================
2024-06-09 14:35:11,104.hm_producer.INFO Today is 2024-06-09 at 02:35 PM
2024-06-09 14:35:11,106.hm_producer.INFO Running on: nt Windows 10
2024-06-09 14:35:11,107.hm_producer.INFO Python version:  3.10.9
2024-06-09 14:35:11,108.hm_producer.INFO Python path: C:\Users\Hayley\anaconda3
2024-06-09 14:35:11,109.hm_producer.INFO Working dir: C:\Users\Hayley\Documents\streaming-06-smart-smoker
2024-06-09 14:35:11,110.hm_producer.INFO ==================================================
2024-06-09 14:35:18,692.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:44:15', 232.8)
2024-06-09 14:35:18,715.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:45:10', 237.9)
2024-06-09 14:35:18,737.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:45:15', 237.9)
2024-06-09 14:35:18,760.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:46:10', 200.2)
2024-06-09 14:35:18,785.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:46:15', 200.2)
2024-06-09 14:35:18,810.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:46:35', 38.7)
2024-06-09 14:35:18,835.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:46:40', 38.7)
2024-06-09 14:35:18,860.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:46:40', 37.0)
2024-06-09 14:35:18,889.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:46:45', 37.0)
2024-06-09 14:35:18,917.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:47:10', 205.9)
2024-06-09 14:35:18,947.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:47:15', 205.9)
2024-06-09 14:35:18,975.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:47:35', 37.1)
2024-06-09 14:35:19,004.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:47:40', 37.1)
2024-06-09 14:35:19,036.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:47:40', 35.3)
2024-06-09 14:35:19,068.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:47:45', 35.3)
2024-06-09 14:35:19,106.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:48:10', 230.0)
2024-06-09 14:35:19,155.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:48:15', 230.0)
2024-06-09 14:35:19,180.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:48:35', 36.9)
2024-06-09 14:35:19,201.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:48:40', 36.9)
2024-06-09 14:35:19,223.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:48:40', 35.2)
2024-06-09 14:35:19,246.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:48:45', 35.2)
2024-06-09 14:35:19,270.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:49:10', 239.6)
2024-06-09 14:35:19,295.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:49:15', 239.6)
2024-06-09 14:35:19,321.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:49:35', 36.9)
2024-06-09 14:35:19,345.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:49:40', 36.9)
2024-06-09 14:35:19,372.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:49:40', 35.3)
2024-06-09 14:35:19,401.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:49:45', 35.3)
2024-06-09 14:35:19,429.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:50:10', 242.4)
2024-06-09 14:35:19,457.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:50:15', 242.4)
2024-06-09 14:35:19,486.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:50:35', 37.2)
2024-06-09 14:35:19,518.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:50:40', 37.2)
2024-06-09 14:35:19,551.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:50:40', 35.2)
2024-06-09 14:35:19,601.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:50:45', 35.2)
2024-06-09 14:35:19,628.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:51:10', 243.1)
2024-06-09 14:35:19,653.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:51:15', 243.1)
2024-06-09 14:35:19,675.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:51:35', 37.5)
2024-06-09 14:35:19,697.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:51:40', 37.5)
2024-06-09 14:35:19,721.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:51:40', 35.2)
2024-06-09 14:35:19,748.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:51:45', 35.2)
2024-06-09 14:35:19,773.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:52:10', 242.6)
2024-06-09 14:35:19,798.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:52:15', 242.6)
2024-06-09 14:35:19,824.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:52:35', 37.9)
2024-06-09 14:35:19,854.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:52:40', 37.9)
2024-06-09 14:35:19,882.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:52:40', 35.6)
2024-06-09 14:35:19,914.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:52:45', 35.6)
2024-06-09 14:35:19,947.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:53:10', 241.7)
2024-06-09 14:35:19,980.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:53:15', 241.7)
2024-06-09 14:35:20,013.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:53:35', 38.4)
2024-06-09 14:35:20,046.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:53:40', 38.4)
2024-06-09 14:35:20,190.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:53:40', 35.7)
2024-06-09 14:35:20,214.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:53:45', 35.7)
2024-06-09 14:35:20,236.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:54:10', 241.4)
2024-06-09 14:35:20,261.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:54:15', 241.4)
2024-06-09 14:35:20,287.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:54:35', 39.1)
2024-06-09 14:35:20,313.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:54:40', 39.1)
2024-06-09 14:35:20,339.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:54:40', 36.0)
2024-06-09 14:35:20,367.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:54:45', 36.0)
2024-06-09 14:35:20,404.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:55:10', 242.1)
2024-06-09 14:35:20,443.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:55:15', 242.1)
2024-06-09 14:35:20,479.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:55:35', 39.9)
2024-06-09 14:35:20,525.hm_producer.INFO Sent message to jackfruit: ('05/22/21 13:55:40', 39.9)
2024-06-09 14:35:20,566.hm_producer.INFO Sent message to pineapple: ('05/22/21 13:55:40', 36.0)
